Filename;Z1;Z2;Z3;Z4
n20_file0001_sample12.aln;-7.99;-5.03;-7.11;-4.72
n20_file0002_sample12.aln;-17.60;-10.21;-18.16;-9.34
n20_file0003_sample12.aln;-26.41;-12.28;-21.14;-11.37
n20_file0004_sample12.aln;-26.85;-7.62;-36.76;-8.66
n20_file0005_sample12.aln;-26.22;-13.61;-18.06;-11.35
n20_file0009_sample12.aln;-29.65;-12.06;-26.42;-11.73
n20_file0010_sample12.aln;-597.92;-37.92;-681.34;-49.61
n20_file0011_sample12.aln;-20.96;-11.58;-20.06;-10.53
n20_file0012_sample12.aln;-25.77;-11.02;-23.78;-10.66
n20_file0013_sample12.aln;-47.32;-14.71;-29.97;-14.38
n20_file0015_sample12.aln;-23.51;-11.95;-19.83;-9.85
n20_file0016_sample12.aln;-196.94;-20.90;-809.88;-19.55
n20_file0018_sample12.aln;-125.27;-17.83;-315.50;-23.85
n20_file0019_sample12.aln;-9.54;-5.01;-14.68;-7.01
n20_file0020_sample12.aln;-16.69;-6.59;-13.74;-5.72
n20_file0021_sample12.aln;-9.01;-10.65;-9.63;-9.57
n20_file0022_sample12.aln;-18.94;-7.18;-48.28;-8.52
n20_file0023_sample12.aln;-45.94;-6.82;-16.41;-6.41
n20_file0024_sample12.aln;-34.58;-8.50;-28.15;-9.61
n20_file0025_sample12.aln;-34.22;-10.64;-31.80;-8.98
n20_file0026_sample12.aln;-32.17;-9.27;-37.74;-10.43
n20_file0027_sample12.aln;-55.35;-11.55;-27.95;-8.43
n20_file0028_sample12.aln;-189.19;-29.15;-137.77;-19.84
n20_file0029_sample12.aln;-14.75;-8.18;-12.82;-6.62
n20_file0030_sample12.aln;-18.30;-7.92;-23.65;-9.47
n20_file0034_sample12.aln;-24.18;-10.48;-20.74;-8.73
n20_file0035_sample12.aln;-75.83;-14.30;-46.43;-13.69
n20_file0036_sample12.aln;-9.83;-6.53;-12.42;-6.57
n20_file0037_sample12.aln;-20.93;-9.10;-23.21;-8.85
n20_file0038_sample12.aln;-7.53;-3.38;-7.26;-3.39
n20_file0039_sample12.aln;-54.50;-16.29;-115.91;-13.23
n20_file0040_sample12.aln;-7.15;-4.52;-7.72;-4.29
n20_file0041_sample12.aln;-101.54;-17.65;-111.67;-17.20
n20_file0042_sample12.aln;-72.44;-9.72;-36.46;-9.29
n20_file0043_sample12.aln;-6.27;-5.65;-6.03;-5.61
n20_file0044_sample12.aln;-40.95;-16.16;-22.61;-12.46
n20_file0045_sample12.aln;-14.70;-9.70;-14.00;-8.50
n20_file0046_sample12.aln;0.27;0.46;0.29;0.53
n20_file0047_sample12.aln;-18.88;-8.48;-17.57;-7.01
n20_file0048_sample12.aln;-20.90;-11.03;-24.31;-11.10
n20_file0049_sample12.aln;-23.82;-5.44;-39.58;-7.19
n20_file0050_sample12.aln;-12.06;-6.39;-15.78;-6.58
n20_file0051_sample12.aln;-25.52;-7.05;-23.68;-8.40
n20_file0052_sample12.aln;-31.65;-8.88;-24.18;-8.64
n20_file0053_sample12.aln;-85.76;-8.85;-73.74;-7.48
n20_file0054_sample12.aln;-97.77;-10.19;-67.60;-12.68
n20_file0055_sample12.aln;-14.32;-4.84;-11.15;-4.21
n20_file0056_sample12.aln;-31.53;-8.07;-26.93;-7.39
n20_file0057_sample12.aln;-62.33;-17.20;-90.18;-19.38
n20_file0058_sample12.aln;0.00;-50.88;-328.50;-49.17
n20_file0059_sample12.aln;-34.38;-10.03;-29.29;-9.96
n20_file0060_sample12.aln;-27.71;-10.15;-23.14;-9.24
n20_file0061_sample12.aln;-130.04;-19.61;-76.10;-13.09
n20_file0062_sample12.aln;-52.98;-10.30;-41.08;-9.39
n20_file0063_sample12.aln;-112.21;-19.94;-50.87;-17.35
n20_file0064_sample12.aln;-6.54;-3.55;-8.00;-4.22
