Filename;Z1;Z2;Z3;Z4
n20_file0001_sample12.aln;-0.24;-0.71;-0.35;-0.63
n20_file0002_sample12.aln;-0.27;-0.15;-0.38;-0.35
n20_file0003_sample12.aln;0.33;-2.57;0.26;-2.80
n20_file0004_sample12.aln;-1.12;-2.63;-3.78;-3.02
n20_file0005_sample12.aln;0.42;0.82;0.50;0.98
n20_file0009_sample12.aln;0.25;-0.05;0.27;-0.20
n20_file0010_sample12.aln;0.00;-2.19;0.00;-3.02
n20_file0011_sample12.aln;0.29;0.31;0.29;0.13
n20_file0012_sample12.aln;1.10;-0.11;1.07;0.30
n20_file0013_sample12.aln;0.22;0.17;0.18;0.12
n20_file0015_sample12.aln;0.20;0.02;0.24;0.47
n20_file0016_sample12.aln;0.00;-0.01;0.00;0.05
n20_file0018_sample12.aln;0.00;0.54;0.00;0.63
n20_file0019_sample12.aln;-1.83;-1.20;-2.19;-0.95
n20_file0020_sample12.aln;-1.35;-1.50;-0.66;-1.49
n20_file0021_sample12.aln;-1.13;0.28;-0.88;0.23
n20_file0022_sample12.aln;-2.26;-2.21;-1.68;-2.09
n20_file0023_sample12.aln;0.00;-1.37;0.00;-1.66
n20_file0024_sample12.aln;0.13;0.43;0.10;0.37
n20_file0025_sample12.aln;0.41;-0.32;0.38;-0.47
n20_file0026_sample12.aln;0.24;-1.42;0.31;-1.09
n20_file0027_sample12.aln;0.17;0.45;0.23;0.52
n20_file0028_sample12.aln;0.26;-0.61;0.23;-0.16
n20_file0029_sample12.aln;0.65;-0.18;0.65;-0.16
n20_file0030_sample12.aln;-1.78;-2.19;-2.19;-2.74
n20_file0034_sample12.aln;-6.93;-1.73;-13.91;-1.50
n20_file0035_sample12.aln;0.38;-0.48;0.36;0.26
n20_file0036_sample12.aln;-1.41;-1.16;-1.49;-1.09
n20_file0037_sample12.aln;0.23;0.14;0.31;0.23
n20_file0038_sample12.aln;0.44;0.12;0.62;0.85
n20_file0039_sample12.aln;0.10;-3.20;0.10;-4.16
n20_file0040_sample12.aln;0.19;-0.07;0.02;-0.60
n20_file0041_sample12.aln;0.17;0.43;0.17;0.34
n20_file0042_sample12.aln;0.24;-1.66;0.13;-1.27
n20_file0043_sample12.aln;0.55;-0.20;0.51;-0.42
n20_file0044_sample12.aln;0.30;0.07;0.34;-0.01
n20_file0045_sample12.aln;0.24;-0.67;0.27;-0.33
n20_file0046_sample12.aln;0.10;0.62;0.10;0.80
n20_file0047_sample12.aln;0.42;-0.71;0.52;-0.14
n20_file0048_sample12.aln;-1.65;-2.31;-2.02;-1.72
