Filename;Z1;Z2;Z3;Z4
n20_file0001_sample12.aln;-3.04;-3.57;-2.61;-3.20
n20_file0002_sample12.aln;-12.84;-5.67;-12.29;-5.47
n20_file0003_sample12.aln;-4.70;-4.24;-3.89;-3.43
n20_file0004_sample12.aln;-35.36;-7.43;-25.80;-7.49
n20_file0005_sample12.aln;-2.26;-2.81;-1.91;-2.24
n20_file0009_sample12.aln;-0.07;-4.02;-0.01;-4.23
n20_file0010_sample12.aln;0.00;-13.17;-51.56;-13.71
n20_file0011_sample12.aln;-8.16;-4.87;-8.04;-3.44
n20_file0012_sample12.aln;-20.91;-8.54;-20.66;-8.80
n20_file0013_sample12.aln;-10.23;-6.28;-9.15;-6.11
n20_file0015_sample12.aln;-22.63;-11.18;-15.44;-8.86
n20_file0016_sample12.aln;0.00;-15.60;-299.90;-13.97
n20_file0018_sample12.aln;-280.17;-16.03;0.00;-18.45
n20_file0019_sample12.aln;-4.13;-2.05;-8.15;-3.03
n20_file0020_sample12.aln;-16.62;-5.12;-12.98;-5.55
n20_file0021_sample12.aln;-3.50;-6.63;-3.87;-7.30
n20_file0022_sample12.aln;-25.33;-4.80;-11.67;-4.31
n20_file0023_sample12.aln;0.31;-4.85;0.42;-3.54
n20_file0024_sample12.aln;-0.96;-2.88;-1.26;-3.56
n20_file0025_sample12.aln;-10.59;-5.22;-17.97;-5.12
n20_file0026_sample12.aln;-22.27;-7.98;-14.78;-7.27
n20_file0027_sample12.aln;-38.82;-9.12;-24.81;-8.45
n20_file0028_sample12.aln;-95.16;-14.94;-55.64;-13.76
n20_file0029_sample12.aln;-10.96;-3.26;-7.98;-2.96
n20_file0030_sample12.aln;-19.04;-7.78;-21.84;-8.80
n20_file0034_sample12.aln;-27.11;-7.64;-19.65;-6.61
n20_file0035_sample12.aln;-142.37;-12.17;-77.77;-14.79
n20_file0036_sample12.aln;-4.67;-4.75;-4.78;-3.30
n20_file0037_sample12.aln;-17.08;-6.31;-12.02;-6.94
n20_file0038_sample12.aln;-6.67;-3.27;-6.63;-2.71
n20_file0039_sample12.aln;-9.39;-3.43;-3.95;-2.69
n20_file0040_sample12.aln;-5.69;-3.80;-4.39;-3.83
n20_file0041_sample12.aln;-51.23;-7.92;-20.64;-6.70
n20_file0042_sample12.aln;-12.73;-6.06;-10.89;-5.38
n20_file0043_sample12.aln;-1.49;-4.59;-0.96;-3.96
n20_file0044_sample12.aln;-24.82;-14.63;-18.46;-14.51
n20_file0045_sample12.aln;-2.75;-2.74;-2.71;-2.27
n20_file0046_sample12.aln;0.21;0.66;0.22;0.90
n20_file0047_sample12.aln;-12.88;-4.71;-13.24;-4.17
n20_file0048_sample12.aln;-14.24;-6.59;-16.22;-4.87
n20_file0049_sample12.aln;-23.12;-6.97;-25.03;-6.60
n20_file0050_sample12.aln;-19.82;-5.94;-17.32;-5.64
n20_file0051_sample12.aln;-21.79;-7.97;-25.41;-8.81
n20_file0052_sample12.aln;-26.28;-7.64;-21.62;-6.36
n20_file0053_sample12.aln;-58.52;-7.02;-28.24;-6.49
n20_file0054_sample12.aln;-728.07;-10.84;-41.74;-8.98
n20_file0055_sample12.aln;-11.21;-5.23;-8.27;-4.24
n20_file0056_sample12.aln;-50.99;-7.39;-21.81;-6.17
n20_file0057_sample12.aln;-55.12;-12.52;-96.42;-12.56
n20_file0058_sample12.aln;-56.76;-12.93;-33.96;-8.97
n20_file0059_sample12.aln;-22.49;-8.96;-20.27;-7.41
n20_file0060_sample12.aln;-16.62;-4.42;-12.15;-3.99
n20_file0061_sample12.aln;0.10;-9.17;0.12;-5.65
n20_file0062_sample12.aln;-34.18;-5.24;-19.04;-4.38
n20_file0063_sample12.aln;-21.95;-6.98;-15.44;-5.55
n20_file0064_sample12.aln;-8.08;-4.77;-9.19;-4.98
n20_file0065_sample12.aln;-234.22;-21.16;-613.67;-21.24
n20_file0066_sample12.aln;-16.60;-2.45;-14.94;-2.90
n20_file0067_sample12.aln;-62.03;-7.72;-46.14;-8.29
n20_file0068_sample12.aln;-10.21;-6.83;-9.76;-6.40
n20_file0069_sample12.aln;-5.72;-3.80;-5.07;-4.39
n20_file0070_sample12.aln;-31.91;-11.32;-10.76;-9.72
n20_file0071_sample12.aln;-11.19;-4.66;-13.16;-5.70
n20_file0072_sample12.aln;-12.83;-6.97;-9.87;-6.14
n20_file0073_sample12.aln;-67.51;-11.35;-71.50;-12.22
n20_file0074_sample12.aln;-14.30;-6.69;-12.18;-6.46
