Filename;Z1;Z2;Z3;Z4
n20_file0001_sample12.aln;0.63;0.80;0.62;0.90
n20_file0002_sample12.aln;0.46;-0.40;0.37;-0.72
n20_file0003_sample12.aln;0.18;0.59;0.20;0.57
n20_file0004_sample12.aln;0.21;-3.19;0.20;-3.08
n20_file0005_sample12.aln;0.34;0.44;0.28;0.54
n20_file0009_sample12.aln;0.16;0.83;0.27;0.62
n20_file0010_sample12.aln;0.00;0.36;0.00;0.15
n20_file0011_sample12.aln;0.41;0.11;0.44;-0.04
n20_file0012_sample12.aln;-0.39;0.10;-0.58;-0.14
n20_file0013_sample12.aln;0.21;-1.52;0.18;-1.22
n20_file0015_sample12.aln;0.26;1.21;0.19;1.30
n20_file0016_sample12.aln;0.00;-0.69;0.00;-1.07
n20_file0018_sample12.aln;0.00;0.47;0.10;0.42
n20_file0019_sample12.aln;0.31;-0.25;0.25;-0.17
n20_file0020_sample12.aln;-2.95;-1.59;-3.29;-1.58
n20_file0021_sample12.aln;0.36;1.69;0.38;1.70
n20_file0022_sample12.aln;0.25;-0.72;0.26;-0.54
n20_file0023_sample12.aln;0.00;0.32;0.00;0.15
n20_file0024_sample12.aln;0.17;0.69;0.16;0.33
n20_file0025_sample12.aln;0.15;-0.79;0.35;-0.58
n20_file0026_sample12.aln;0.03;-2.84;0.21;-2.44
n20_file0027_sample12.aln;0.00;-0.57;0.14;-0.19
n20_file0028_sample12.aln;-3.33;-0.33;-0.43;0.07
n20_file0029_sample12.aln;0.26;0.34;0.37;0.50
n20_file0030_sample12.aln;-0.78;-0.62;-1.50;-0.75
n20_file0034_sample12.aln;0.42;-1.10;0.45;-0.90
n20_file0035_sample12.aln;0.29;-0.83;0.35;-0.36
n20_file0036_sample12.aln;1.04;0.51;0.90;0.61
n20_file0037_sample12.aln;0.25;-0.18;0.26;-0.23
n20_file0038_sample12.aln;-2.28;-1.64;-1.92;-1.59
n20_file0039_sample12.aln;0.13;-4.07;0.10;-3.62
n20_file0040_sample12.aln;0.53;0.17;0.53;0.31
n20_file0041_sample12.aln;0.11;-0.33;0.10;-0.30
n20_file0042_sample12.aln;0.36;-0.92;0.36;-0.82
n20_file0043_sample12.aln;0.01;-1.65;-0.06;-1.67
n20_file0044_sample12.aln;0.35;0.74;0.32;0.84
n20_file0045_sample12.aln;-5.12;-1.60;-10.12;-1.59
n20_file0046_sample12.aln;0.10;1.19;0.19;1.54
n20_file0047_sample12.aln;-0.20;-0.24;0.12;-0.03
n20_file0048_sample12.aln;0.36;-1.85;0.37;-2.14
n20_file0049_sample12.aln;-17.38;-1.72;-7.59;-2.54
n20_file0050_sample12.aln;-2.21;-0.75;-1.73;-1.01
n20_file0051_sample12.aln;0.52;0.13;0.61;0.54
n20_file0052_sample12.aln;-1.08;-1.22;-2.65;-1.13
n20_file0053_sample12.aln;0.10;0.85;0.10;0.91
n20_file0054_sample12.aln;0.20;-1.44;0.12;-1.78
n20_file0055_sample12.aln;0.39;-0.75;0.65;0.19
n20_file0056_sample12.aln;0.10;-0.60;0.10;-0.37
n20_file0057_sample12.aln;-7.63;-1.68;-14.14;-2.24
n20_file0058_sample12.aln;0.10;0.06;0.10;0.46
n20_file0059_sample12.aln;0.31;0.92;0.25;0.91
n20_file0060_sample12.aln;-3.93;-2.55;-3.16;-2.11
n20_file0061_sample12.aln;0.10;0.86;0.00;1.06
n20_file0062_sample12.aln;-0.50;-1.14;-0.76;-0.67
n20_file0063_sample12.aln;0.17;0.33;0.14;0.65
n20_file0064_sample12.aln;0.40;-1.01;0.44;-0.74
n20_file0065_sample12.aln;0.14;-2.92;0.11;-2.48
n20_file0066_sample12.aln;0.20;-2.47;0.17;-1.91
n20_file0067_sample12.aln;0.00;-2.09;0.00;-1.89
n20_file0068_sample12.aln;-1.57;-0.82;-2.23;-0.34
n20_file0069_sample12.aln;0.34;-0.12;0.12;0.03
n20_file0070_sample12.aln;0.11;-0.89;0.21;-0.67
n20_file0071_sample12.aln;-2.85;-2.95;-2.37;-3.21
n20_file0072_sample12.aln;0.44;-0.19;0.39;-0.17
n20_file0073_sample12.aln;0.20;-0.98;0.20;-0.98
n20_file0074_sample12.aln;0.20;-1.17;0.28;-0.92
n20_file0075_sample12.aln;0.30;-0.35;0.29;-0.22
n20_file0076_sample12.aln;0.13;-0.36;0.15;-0.04
n20_file0077_sample12.aln;-1.54;-1.50;-1.67;-1.60
n20_file0078_sample12.aln;0.28;-2.03;0.28;-1.34
n20_file0079_sample12.aln;0.10;-0.60;0.16;-0.45
n20_file0080_sample12.aln;0.43;-0.49;0.41;-0.18
n20_file0083_sample12.aln;-4.38;-0.64;-1.42;-0.11
n20_file0084_sample12.aln;-2.41;-0.87;-2.81;-0.82
n20_file0085_sample12.aln;0.31;0.98;0.22;0.92
n20_file0088_sample12.aln;-1.01;-0.46;-1.21;-0.44
n20_file0089_sample12.aln;-1.42;-2.13;-1.08;-2.22
n20_file0090_sample12.aln;0.14;0.03;0.30;0.23
n20_file0091_sample12.aln;0.10;-1.78;0.00;-1.41
n20_file0092_sample12.aln;0.11;0.35;0.21;0.44
n20_file0093_sample12.aln;0.44;-0.05;0.46;0.10
n20_file0094_sample12.aln;0.00;0.34;0.13;0.21
n20_file0095_sample12.aln;-0.86;-0.07;-1.11;-0.13
n20_file0096_sample12.aln;0.47;-0.22;0.53;0.16
n20_file0097_sample12.aln;1.15;-0.27;1.02;-0.11
n20_file0098_sample12.aln;0.47;-0.39;0.34;-0.34
n20_file0099_sample12.aln;0.12;-0.59;0.00;-1.15
n20_file0100_sample12.aln;0.15;-2.05;0.16;-0.95
